;link;title;description;price;location;typeflat;img
0;https://www.spareroom.co.uk/flatshare/hampshire/southampton/15148318;Private Garden Area. Friendly House. Bills inc.;"
	

This lovely room with private garden access is available for a working professional or mature post graduate student. It is important for us to...";£135pw;Southampton (SO17);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/84/46/84460767.jpg
1;https://www.spareroom.co.uk/flatshare/west_yorkshire/addingham/16339438;Small double room to let;"
	

Room to let for a working female.
Use of kitchen, bathroom and garden.
Parking available outside the property. 
Very close to co op, pubs, shops.
Bus...";£85 pw;Addingham (LS29);1 bed house;no image
2;https://www.spareroom.co.uk/flatshare/bedfordshire/dunstable/16339430;Double Room Priory Area Dunstable;"
	

Double room to rent in 3 bed house, shared with owner, dog and cat. Owner also owns a horse.
£600 all in, includes cleaner bi-weekly. 
All amenities...";£600pcm;Dunstable (LU5);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346875.jpg
3;https://www.spareroom.co.uk/flatshare/london/west_kensington/16105067;West kensington: £950 studio for rent ;"
	

Viewing: every day 5-7 evening 

Cosy nice large studio room to rent with double bed, own toilet shower and open plan mini kitchen.
Studio consist...";£950 pcm;West Kensington (W14);Studio flat;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/83/62/83621028.jpg
4;https://www.spareroom.co.uk/flatshare/devon/plymouth/12883597;Lovely double room ;"
	

A lovely double room available for immediate  rental in a shared house .

Two shower rooms 
kitchen
lounge 
Wifi 

Great central location only...";£95pw;Plymouth (PL4);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/62/10/62108941.jpg
5;https://www.spareroom.co.uk/flatshare/london/canary_wharf/15924192;Stunning double bedroom ;"
	

Hello all. I'm looking for a flatmate to share this delightful property in marsh wall canary wharf.  A two-bedroom, two-bathroom brand...";£1,385pcm;Canary Wharf (E14);Double room;no image
6;https://www.spareroom.co.uk/flatshare/london/holborn/16339416;2 rooms, shared living room,Now,4m Holborn;"
	

Amazing flat, super central, 2 rooms with a large living room, a shared bathroom and an open plan space kitchen.

3 min to Holborn tube station
7 min...";£335- £1,300pcm;Holborn (WC1);2 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346785.jpg
7;https://www.spareroom.co.uk/flatshare/cheshire/stockport/10039426;Lovely large double near Stockport Station;"
	

Looking for a new place to call home? Enjoy co-living made easy with us.  High quality accommodation in a friendly professional house share. Rent...";£535pcm;Stockport (SK2);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346686.jpg
8;https://www.spareroom.co.uk/flatshare/gloucestershire/cirencester/15321329;Individual room rental, tidy 6 bedroom share house;"
	

Modern, large open plan living area. 2 toilets and two shower rooms, perfect for individual working professional room rentals.

A 5 minute walk from...";£550pcm;Cirencester (GL7);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/77/35/77352369.jpg
9;https://www.spareroom.co.uk/flatshare/northamptonshire/northampton/676494;All inclusive-Clean room, with WiFi-nr town center;"
	

        1 Fully furnished  room
1. Single Bed
2. Free Optic Fibre Broadband. 
3. 5-10 minutes walk to town center, 
4. .Near to a park, shops,...";£380pcm;Northampton (NN2);Single room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/84/03/84038741.jpg
10;https://www.spareroom.co.uk/flatshare/london/brixton/16339395;Large double bedroom with ensuite in Brixton;"
	

The room 

The room is a large double with a spacious fitted wardrobe. The room also comes with its own modern bathroom. The flat has a large open...";£900pcm;Brixton (SW2);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346630.jpg
11;https://www.spareroom.co.uk/flatshare/london/caledonian_road/16339387;New:Large Room with Character;"
	

Available from 12th September 

Double room single use, 
ONLY 1 person per room, sorry no couples.

Please specify your occupation, age, planned...";£1,300pcm;Caledonian Road (N7);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346530.jpg
12;https://www.spareroom.co.uk/flatshare/lancashire/blackpool/16117115;Large en suite room in high quality friendly house;"
	

Large room to let in a friendly house share on south shore. King size bed. Smart tv. Chaise lounge. Walk in mirrored wardrobes. En suite wetroom with...";£600pcm;Blackpool (FY4);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/83/71/83711770.jpg
13;https://www.spareroom.co.uk/flatshare/london/notting_hill/16236253;Bills Included, Best Location, No Fees 🔥;"
	

🛎️ Summer 🌻 Time 🌞 Discount 🔑🎀 - Rent long term now to secure a lower rate🎁

⚠️SPECIAL OFFER- 495pw for long let...";£495 pw;Notting Hill (W2);Studio flat;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/16/85163973.jpg
14;https://www.spareroom.co.uk/flatshare/northamptonshire/rushden/10689139;Single and double room with En Suite Rushden;"
	

Single room is fully furnished to a high standard with own En-suite £505 pm 
Double room fully furnished to a high standard with own En-suite £551...";£505- £551pcm;Rushden (NN10);Single + double;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/48/57/48577489.jpg
15;https://www.spareroom.co.uk/flatshare/lincolnshire/lincoln/16038068;Close To City Centre-Superb Offer on 1st Month!;"
	

Fully furnished large double rooms available - Close to transport links! **£100 Off For R2 & £50 Off For R3 on 1st Month Rent! Hurry up!
We are...";£110- £125pw;Lincoln (LN1);2 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/31/85315193.jpg
16;https://www.spareroom.co.uk/flatshare/london/canning_town/16339379;Double room with Ensuite - Female Apply Only  ;"
	

Hello, 

This property is a two bed and two bathroom apartment located in Canning Town. A few minute walk from Canning Town tube station and Morrisons...";£1,250pcm;Canning Town (E16);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346483.jpg
17;https://www.spareroom.co.uk/flatshare/london/south_kensington/16247631;Bills Included, Short & Long Lets 🎀;"
	

🔥BRAND NEW APARTMENT WITH ALL BILLS INCLUDED🔥

🛎️ Summer 🌻 Time 🌞 Discount 🔑🎀 - Rent long term now to secure a lower...";£545 pw;South Kensington (SW7);Studio flat;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/32/85329217.jpg
18;https://www.spareroom.co.uk/flatshare/cambridgeshire/cambridge/16339372;Really nice single room with private toilet ;"
	

Really nice and comfortable bedroom in a modern, well maintained, very clean and tidy home in a great location of Orchard Park, near Cambridge Science...";£585pcm;Cambridge (CB4);Single room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346424.jpg
19;https://www.spareroom.co.uk/flatshare/avon/keynsham/16339360;Double Room to let;"
	

Double sized room, beautifully furnished and very quiet. Close to countryside  but town centre just 20 min walk. Keynsham is between Bristol and Bath...";£495pcm;Keynsham (BS31);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346358.jpg
20;https://www.spareroom.co.uk/flatshare/west_yorkshire/leeds/10362253;House Share - Thornville Crescent;"
	

HOUSE SHARE ALL BILLS INCLUDED!!! 

This is a large five bedroom property in the heart of Hyde Park comprises of a large kitchen/dining area, two...";£500pcm;Leeds (LS6);5 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/46/44/46440439.jpg
21;https://www.spareroom.co.uk/flatshare/london/notting_hill/16150372;Bills included, short & long lets available;"
	

🛎️ Summer 🌻 Time 🌞 Discount 🔑🎀 - Rent long term now to secure a lower rate🎁

⚠️SPECIAL OFFER- 595pw for long let (6months+)...";£595 pw;Notting Hill (W2);Studio flat;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/26/85266873.jpg
22;https://www.spareroom.co.uk/flatshare/london/mile_end/16339348;Sensational Spacious Rooms Next to the Station!! ;"
	

I am proud to present this room in this amazing flat share to be safe and comfort.


The area is fantastic, you can't really beat it. You have...";£260- £280pw;Mile End (E3);5 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346181.jpg
23;https://www.spareroom.co.uk/flatshare/london/golders_green/16339343;Studio - Golders Green Road NW11 8BD ;"
	

Address: Eagle Lodge, Golders Green Road NW11 8BD 

SMALL STUDIO
£1100 PCM
All Bills Included
No Couples

DSS Welcome

Bright studio flat...";£1,100 pcm;Golders Green (NW11);Studio flat;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346238.jpg
24;https://www.spareroom.co.uk/flatshare/lincolnshire/lincoln/16339341;Newark Road rooms available;"
	

This 7 bedroom house offer a range of rooms as detailed below:

Bedroom 1 - Large double en-suite TAKEN
Bedroom 2 - Large double en-suite...";£85- £115pw;Lincoln (LN5);2 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346219.jpg
25;https://www.spareroom.co.uk/flatshare/lincolnshire/lincoln/16119171;Bills & Monthly Cleaning Inc! - 1st Mont Rent Disc;"
	

Furnished single room available in this peaceful, well maintained house share. All bills are INCLUDED! PLUS £50 Off on 1ST MONTH RENT. This Exclusive...";£84pw;Lincoln (LN2);Single room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/00/85000990.jpg
26;https://www.spareroom.co.uk/flatshare/cheshire/chester/16339331;Student accommdation house;"
	

This student accommodation house is perfect for anyone looking to live in small groups. 

It is 10 mins from parkgate campus. ";£410 pw;Chester (CH1);4 bed house;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346160.jpg
27;https://www.spareroom.co.uk/flatshare/lincolnshire/lincoln/16339329;Large uphill en-suite available;"
	

This uphill property offers large bedrooms with an open plan kitchen and living areas and a TV room

Bedroom 1 is a large double bedroom with...";£112pw;Lincoln (LN1);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346131.jpg
28;https://www.spareroom.co.uk/flatshare/london/balham/13097839;Fabulous house share, 5 mins Balham underground;"
	

5 MINS WALK TO BALHAM TUBE . Very spacious , recently refurbished to highest spec, split level, period property in desirable, quiet, tree-lined street...";£1,400pcm;Balham (SW12);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/79/67/79670101.jpg
29;https://www.spareroom.co.uk/flatshare/lincolnshire/lincoln/16339314;Uphill rooms available;"
	

This uphill house boasts large bedrooms with an open plan kitchen and living areas 

Bedroom 1 is a large double bedroom with en-suite...";£105pw;Lincoln (LN1);2 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346071.jpg
30;https://www.spareroom.co.uk/flatshare/london/notting_hill/16276993;Single studio with private bathroom in Notting Hil;"
	

Single studio with private bathroom available to move in 1st of August.

This property has cooking facilities, mezzanine and balcony. Fully...";£1,217 pcm;Notting Hill (W11);Studio flat;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/84/91/84917098.jpg
31;https://www.spareroom.co.uk/flatshare/lincolnshire/lincoln/16339305;Double rooms available in city centre;"
	

This city centre apartment is located at the top of a Grade ll listed building. It boasts large bedrooms with an open plan kitchen and living areas...";£90pw;Lincoln (LN2);2 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346032.jpg
32;https://www.spareroom.co.uk/flatshare/oxfordshire/oxford/16339304;Stunning apartment with incredible views;"
	

Stunning apartment on equestrian property 10 mins from oxford Ring road. Single Occupancy only. Electric gated entrance, parking. Large double...";£1,200 pcm;Oxford (OX44);1 bed flat;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85346016.jpg
33;https://www.spareroom.co.uk/flatshare/london/fitzrovia/16339299;New Oxford street;"
	

Room for rent available 
£125 per week. Room based in central London. 5 min walk to Tottenham Court Road tube station. 
5 min walk to Oxford street...";£125pw;Fitzrovia (WC1);Single room;no image
34;https://www.spareroom.co.uk/flatshare/nottinghamshire/west_bridgford/15589687;Bright Room in Quiet Area;"
	

- - About the room - -
Cosy bright warm room with a single bed, desk, wardrobe and cupboard and chest of drawers.  Quiet and sunny (when the sun's...";£470pcm;West Bridgford (NG2);Single room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/79/49/79496043.jpg
35;https://www.spareroom.co.uk/flatshare/middlesex/teddington/5634337;Modern ensuite double room in Teddington ;"
	

Room available to rent in a family home. It is a lower ground floor double bedroom with private access from the driveway. It has its own patio,...";£800pcm;Teddington (TW11);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/18/64/18645736.jpg
36;https://www.spareroom.co.uk/flatshare/london/earlsfield/16339283;2 Double rooms available in Earlsfield ;"
	

2 double rooms available in Earlsfield (Wandsworth) between Southfields tube and Earlsfield overground (both about 10-15 minute walk), 3 bed, 2...";£800pcm;Earlsfield (SW18);2 doubles;no image
37;https://www.spareroom.co.uk/flatshare/northamptonshire/northampton/16339282;Ensuite double room walk to uni and hospital;"
	

No couples, no babies, no pets please. Single occupancy due to HMO licence rules. This is a fully licenced property. 

Recently refurbed 5 bedroom...";£585pcm;Northampton (NN1);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85344043.jpg
38;https://www.spareroom.co.uk/flatshare/london/london_nw2/16325439;Double large room with garden and living ;"
	

A large 7 bedrooms house , 2 bathrooms with a garden and large living in a bright house .
A short walk to Acton town station, Several bus stops and...";£887pcm;London NW2 (NW2);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/25/85255643.jpg
39;https://www.spareroom.co.uk/flatshare/nottinghamshire/mansfield/16100618;🔥🔥Extra large studio ensuite room 15th Sept! ;"
	


Available 15th September!!!


Newly refurbished property.

0.7miles  to Mansfield train station 
2.3 miles to AMAZON!
6 miles to Fraser Group...";£695pcm;Mansfield (NG18);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345784.jpg
40;https://www.spareroom.co.uk/flatshare/staffordshire/longton/7516615;ST3/Longton. Parking. Double + sofa + Smart TV!;"
	

Located  in  Longton  (ST3) only  5min  walk  from  the  town  centre  is  this  fully  renovated  property.  Couples  accepted.  To  view  ring...";£105pw;Longton (ST3);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345795.jpg
41;https://www.spareroom.co.uk/flatshare/london/north_greenwich/16339257;Amazing Penthouse with Living Room in Greenwich!!;"
	

I am proud to present this room in this amazing flat share to be safe and comfort.


The area is fantastic, you can't really beat it. You have...";£285- £345pw;North Greenwich (SE10);4 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345631.jpg
42;https://www.spareroom.co.uk/flatshare/west_midlands/walsgrave_on_sowe/4644125;Sociable house close to hospital;"
	

Cottage feel home just minutes walk away from the hospital and, a moments drive from M6 and local business parks. This four bed house has plenty of...";£470pcm;Walsgrave on Sowe (CV2);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/10/37/10379521.jpg
43;https://www.spareroom.co.uk/flatshare/hampshire/southampton/13921732;Large Double Room September 17th - utils inc;"
	

One  double  room  for  rent  in  sociable  young  professional  house  share.  Upper  Shirley,  Southampton. 

Room  for  rent  in  sociable  house...";£410pcm;Southampton (SO16);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/67/90/67900489.jpg
44;https://www.spareroom.co.uk/flatshare/merseyside/liverpool/15690062;4 Bedroom Luxury House Share - Very Close to City!;"
	

One of the largest rooms available NOW! 
TRUE LUXURY ACCOMMODATION  
Newly Renovated HMO available immediately - DON’T MISS OUT


32inch Smart...";£390pcm;Liverpool (L6);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/82/80/82807466.jpg
45;https://www.spareroom.co.uk/flatshare/kent/welling/4247847;Double room for single  professional/std;"
	

We have a spacious furnished double bedroom in Welling to rent in a three bed room house with large dining room and kitchen. All bills are included...";£480pcm;Welling (DA16);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345604.jpg
46;https://www.spareroom.co.uk/flatshare/greater_manchester/west_didsbury/16339238;Lovely Whole House Rental;"
	

Whole house in West Didsbury would suit large fsmily /group - located near Metrolknk and Northern Lawn Tennis Club great location Bills not included";£2,099 pcm;West Didsbury (M20);4 bed house;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345592.jpg
47;https://www.spareroom.co.uk/flatshare/london/tooting/16339236;Double room in quite Tooting;"
	

Hi there, thanks for stopping by.
I have a spareroom and looking to find a suitable housemate. 
The house has two rooms and I am looking to find...";£750pcm;Tooting (SW17);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345573.jpg
48;https://www.spareroom.co.uk/flatshare/london/earlsfield/16339224;Double room with en suite ;"
	

Hello

My flat mate is moving out to live with his girlfriend and I am looking to fill his room.  

The room is a good size and has an en suite...";£1,100pcm;Earlsfield (SW18);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345466.jpg
